,Source,Title,Content,Section,URL,Date
0,la jornada,"extremis , águila rescatar valioso empate 1-1 necaxa","gol agónico henry martín , américa rescatar valioso empate 1-1 necaxa , hilvanar tres partido conocer derrota , ayer due-lo correspondiente jornada nueve torneo aperturar 2024 liga , disputado estadio victorio , aguascalient .",deporte,https://www.jornada.com.mx/2024/09/22/deportes/a09n1dep?partner=rss,22/09/2024
1,la jornada,dubois noquea joshua retener cetro pesado,"londres . daniel dubois retener título pesado federación internacional boxeo ( fib ) noquear quinto asalto ex bicampeón anthony joshua , primero defensa cinturón realizado estadio wembley",deporte,https://www.jornada.com.mx/2024/09/22/deportes/a11n2dep?partner=rss,22/09/2024
2,la jornada,copar laver,"equipo resto mundo tomar ventaja 8-4 copa laver selección europa . triunfo estadunidens taylor fritz ( imagen ) franz tiafoe alemán alexander zverev ruso daniil medvedev , respectivamente , ser fundamental comandado john mcenroe tomar delantera justa definir hoy campeón acumulir 13 punto berlín .",deporte,https://www.jornada.com.mx/2024/09/22/deportes/a10n3dep?partner=rss,22/09/2024
3,la jornada,"cruz azul , intratable ; vence 1-0 chiva afianza superliderato","haber partido marcar agenda cruz azul . después clásico joven américa , rivalidad guadalajara tener valor especial . peso escenario importante , máquina volver cantar victoria estadio ciudad deporte ( 1-0 ) mantener él único líder liga seguir carrera campeonato .",deporte,https://www.jornada.com.mx/2024/09/22/deportes/a27n2dep?partner=rss,22/09/2024
4,la jornada,gobierno cdmx premio más millar atleta local,más millar atleta capitalino ser premiar ayer participación juego nacional conade .,deporte,https://www.jornada.com.mx/2024/09/22/deportes/a11n1dep?partner=rss,22/09/2024
5,la jornada,leyenda pancracio regresar coliseo día nacional luchador,"hombre , ocasión mujer , máscara subir ring arena coliseo , afición ovacionar , no importar ser rudo técnico , saber estar cuadrilátero arriesgar vida medio espectáculo más vistoso , folclórico polémico deporte : lucha libre . místico , octagón atlanti , leyenda disciplina , ser ayer representante histórico función motivo día nacional luchador lucha libre .",deporte,https://www.jornada.com.mx/2024/09/22/deportes/a27n1dep?partner=rss,22/09/2024
6,la jornada,"jiménez , plan goleador ; brillar triunfo fulham","raúl jiménez anotar nuevo fulham liga premier inglés . delantero mexicano , 33 año , abrir marcador craven cottage newcastle united encaminar victoria 3-1 quinto fecha .",deporte,https://www.jornada.com.mx/2024/09/22/deportes/a10n1dep?partner=rss,22/09/2024
7,la jornada,"norri conseguir po él gp singapur ; checo , fuera top-10","mexicano sergio pérez ( red bull ) entrar socavón . arrancar des-de fondo , esperanzado neumático ayudar remontar , terminar lejos dos piloto disputar título mundial fórmula 1 calificación gran premio singapur . ubicado lugar 13 , tapatío finalizar carrera poco memorable respecto rendimiento lar norri ( mclaren ) tricampeón mundial max verstappen , primero segundo parrilla salida , respectivamente .",deporte,https://www.jornada.com.mx/2024/09/22/deportes/a10n2dep?partner=rss,22/09/2024
8,la jornada,"manuel ahumada , dibujante “ demasiado viejo punk , mucho joven morir ”","ser “ demasiado viejo punk , mucho joven morir ” , decir manuel ahumado ( 1956-2014 ) gonzalo rocha , ambos monero colaborador jornada . “ día elevar más ahora mirar cosmos , acompañado dios azteca , ángel astronauta apolo 11 ” , agregar referencia día aquel fallecer personaje ser frecuente imaginario obra .",cultura,https://www.jornada.com.mx/2024/09/22/cultura/a05n1cul?partner=rss,22/09/2024
9,la jornada,elén poniatowska : grito,"madrugada 16 septiembre 1810 , “ grito independencia ” , historia dar cura miguel hidalgo costillar pueblo dolor , guanajuato , rasgó cielo hacer estallar movimiento independencia .",cultura,https://www.jornada.com.mx/2024/09/22/cultura/a04a1cul?partner=rss,22/09/2024
