Source,Title,Content,Section,URL,Date
La Jornada,Lucía García rescata a Rayadas,"Como una de las jugadoras de mayor jerarquía internacional, la española Lucía García rescató al campeón Monterrey para conseguir un agónico empate 1-1 ante León en el estadio Nou Camp. Las Rayadas, que han sufrido en el torneo Clausura 2024 de la Liga Mx Femenil, desplazaron al América del tercer puesto con 26 unidades después de 12 jornadas, al tiempo que las Esmeraldas tienen 12 puntos.",Deportes,https://www.jornada.com.mx/2024/09/28/deportes/a09n2dep?partner=rss,28/09/2024
La Jornada,Título de la Copa de Campeones motiva  al América para duelo ante Pumas: Dávila,"La reciente obtención del título de la Copa de Campeones es un factor que motiva al América de cara al clásico capitalino de este domingo ante Pumas, aseguró el delantero Víctor Dávila, quien además indicó que más allá de tratar de derrotar a uno de sus acérrimos rivales, su equi-po buscará a toda costa el triun-fo para ubicarse en zona de liguilla.",Deportes,https://www.jornada.com.mx/2024/09/28/deportes/a09n1dep?partner=rss,28/09/2024
La Jornada,Liga Mexicana de Beisbol elige   a Trevor Bauer pitcher del año,"Trevor Bauer es un coleccionista de galardones. El lanzador de los Diablos Rojos del México, campeón de juegos ganados y ponches en la pasada temporada, fue elegido como pitcher del año en la Liga Mexicana de Beisbol (LMB).",Deportes,https://www.jornada.com.mx/2024/09/28/deportes/a11n2dep?partner=rss,28/09/2024
La Jornada,Finaliza la  temporada para Rodri,"Manchester. Rodri, mediocampista del Manchester City, se perderá el resto de la temporada tras someterse ayer a una cirugía en el ligamento anterior cruzado.",Deportes,https://www.jornada.com.mx/2024/09/28/deportes/a10n3dep?partner=rss,28/09/2024
La Jornada,Del Toro finaliza sexto en la prueba de ruta del Mundial juvenil,"Isaac del Toro cada vez se acerca más a la perfección para seguir acrecentando su legado. Ahora, el mexicano culminó en el sexto lugar de la prueba de ruta Sub-23 del Mundial de Ciclismo de Zúrich Suiza, después de una extraordinaria actuación en la cual sólo erró al bajar el ritmo en el tramo final. Aún cuando se quedó cerca de la medalla impuso el mejor tiempo para un tricolor en esta carrera.&#160;",Deportes,https://www.jornada.com.mx/2024/09/28/deportes/a11n1dep?partner=rss,28/09/2024
La Jornada,Tigres rescata el empate a dos con León; es sublíder,"Con polémicas decisiones arbitrales, Tigres rescató el empate 2-2 ante el León con un gol de último minuto del argentino Juan Brunetta. Los universitarios se valieron del criterio del silbante Daniel Quintero Huitrón, quien invalidó dos tantos de los esmeraldas e inclinó la balanza a su favor, para igualar el encuentro.",Deportes,https://www.jornada.com.mx/2024/09/28/deportes/a27n1dep?partner=rss,28/09/2024
La Jornada,México busca ser el máximo exponente en la Homeless Cup,"Luego de un largo viaje a Corea del Sur, las selecciones mexica-nas de futbol de calle cumplieron el objetivo de estar en la final de la Homeless World Cup y están a un pasó de convertirse en los máximos exponentes de este torneo.",Deportes,https://www.jornada.com.mx/2024/09/28/deportes/a10n1dep?partner=rss,28/09/2024
La Jornada,UEFA sanciona al Barça por pancarta con expresión nazi,"Madrid. El Órgano de Control, Ética y Disciplina (CEDB, por sus siglas inglés) de la UEFA sancionó al Barcelona con 11 mil 162 dólares al resolver que su afición tuvo una conducta racista en el partido de Champions contra el AS Mónaco, el pasado 17 de abril en el Stade Louis II.",Deportes,https://www.jornada.com.mx/2024/09/28/deportes/a10n2dep?partner=rss,28/09/2024
La Jornada,Carlos Fernández-Vega: México SA,"A lo largo de su prolongada cuan    devastadora estancia en Los Pinos (1982-2018), los seis gobiernos tecnocráticos coleccionaron un rosario de frases verdaderamente imbéciles en su intento por justificar sus políticas públicas hambreadoras y decisiones “modernizadoras” que sólo hundieron a los mexicanos…. “por el bien de México”, según repitieron como pericos. Y lo hicieron año tras año, durante 36, con resultados sociales devastadores.",Economía,https://www.jornada.com.mx/2024/09/28/opinion/016o1eco?partner=rss,28/09/2024
La Jornada,Retrasos del ferrocarril México-EU afectan el suministro agrícola,"Chicago. Los retrasos en el transporte ferroviario están perturbando el comercio de exportación entre Estados Unidos y México y obstaculizando las cadenas de suministro agrícola en plena cosecha de otoño boreal, denunciaron ayer organizaciones agrarias.",Economía,https://www.jornada.com.mx/2024/09/28/economia/016n1eco?partner=rss,28/09/2024
La Jornada,Pemex envía combustible de la Refinería Olmeca a India,"Petróleos Mexicanos (Pemex) envió este mes su primer cargamento de combustible de su nueva refinería Olmeca a India, una señal de progreso después de múltiples retrasos y costos en espiral, según datos de embarque y fuentes de la industria.",Economía,https://www.jornada.com.mx/2024/09/28/economia/015n2eco?partner=rss,28/09/2024
La Jornada,Déficit en finanzas públicas es menor a lo previsto: SHCP,"En los primeros ocho meses del año, el balance presupuestario observó un déficit de 897 mil 874 millones de pesos, monto que fue menor respecto a lo programado, mientras la deuda se mantuvo en un nivel sostenible, dijo la Secretaría de Hacienda y Crédito Público (SHCP).",Economía,https://www.jornada.com.mx/2024/09/28/economia/014n1eco?partner=rss,28/09/2024
La Jornada,Volkswagen negocia con sindicatos,"Después del explosivo anuncio de Volkswagen de que podría cerrar fábricas en Alemania por primera vez, la dirección de la empresa y los sindicatos iniciarán tensas conversaciones sobre un nuevo acuerdo salarial. La empresa ha subrayado repetidamente que sus costes son excesivos y sus márgenes de beneficio demasiado bajos, especialmente en su marca principal.",Economía,https://www.jornada.com.mx/2024/09/28/economia/016n3eco?partner=rss,28/09/2024
La Jornada,La BMV gana 1.1% en la semana; peso pierde 28 centavos,"El peso revirtió sus ganancias iniciales, un día después del impulso registrado por el anuncio del Banco de México de que recortó su tasa de interés.",Economía,https://www.jornada.com.mx/2024/09/28/economia/014n2eco?partner=rss,28/09/2024
La Jornada,Confirma Sheinbaum salida de Gabriel Yorio de la Subsecretaría de Hacienda,"El subsecretario de Hacienda, Gabriel Yorio González, no repetirá en el cargo durante el próximo sexenio, así lo confirmó la próxima titular del Ejecutivo federal.",Economía,https://www.jornada.com.mx/2024/09/28/economia/014n3eco?partner=rss,28/09/2024
La Jornada,El desempleo en Alemania aumenta más de lo previsto,"Berlín. El número de desempleados en Alemania aumentó más de lo previsto en septiembre, en una nueva señal de los retos a los que se enfrenta la mayor economía de Europa.",Economía,https://www.jornada.com.mx/2024/09/28/economia/016n2eco?partner=rss,28/09/2024
La Jornada,"Gustavo Gordillo / III: Justicia, anillos, poder","Para que haya mayorías, tiene que haber minorías. Son las minorías, su existencia política, las que constituyen un régimen de mayorías.",Economía,https://www.jornada.com.mx/2024/09/28/economia/015a1eco?partner=rss,28/09/2024
La Jornada,Desequilibrio en la balanza comercial acumuló 10 mil 438 mdd hasta agosto,"La balanza comercial del país observó en agosto de 2024 un déficit de 4 mil 868 millones de dólares, dinamismo que se explicó por el retroceso de uno por ciento en las exportaciones frente a igual periodo del año anterior, informó el Instituto Nacional de Estadística y Geografía (Inegi).",Economía,https://www.jornada.com.mx/2024/09/28/economia/015n1eco?partner=rss,28/09/2024
La Jornada,“Misión cumplida”,"“Misión cumplida”, dijo el artista Gabriel Orozco al cerrar un ciclo de casi seis años como coordinador del proyecto Chapultepec: Naturaleza y Cultura, el 24 de septiembre, cuando el presidente Andrés Manuel López Obrador inauguró la cuarta sección y última que faltaba por concluir de ese bosque urbano.",Cultura,https://www.jornada.com.mx/2024/09/28/cultura/a02n2cul?partner=rss,28/09/2024
La Jornada,Pablo Espinosa: Las creaturas que habitan Bellas Artes,La luz de las distintas horas los devora.,Cultura,https://www.jornada.com.mx/2024/09/28/cultura/a04a1cul?partner=rss,28/09/2024
La Jornada,Miguel Díaz Reynoso*: Cuadernos de La Habana,Encuentro en mis cuadernos varias referencias al asalto al Cuartel Moncada. Quizá deba empezar por los preparativos y cómo se decidió llevarlo a cabo ese 26 de julio.,Cultura,https://www.jornada.com.mx/2024/09/28/opinion/a03o1cul?partner=rss,28/09/2024
La Jornada,Chapultepec está listo para atender el presente y enfrentar el futuro: Orozco,"El Bosque de Chapultepec está listo para atender el presente y encarar el futuro, aseguró a La Jornada el artista veracruzano Gabriel Orozco, quien concluyó su labor de coordinador del proyecto Chapultepec: Naturaleza y Cultura, cuya cuarta sección, ya remodelada, se inauguró hace unos días.",Cultura,https://www.jornada.com.mx/2024/09/28/cultura/a02n1cul?partner=rss,28/09/2024
La Jornada,“La conclusión del proyecto Naturaleza y Cultura es una prioridad del gobierno entrante”,"El proyecto Chapultepec: Naturaleza y Cultura no se ha dado por concluido. Se mantendrá como prioritario para el próximo gobierno federal, afirmó la subsecretaria de Desarrollo Cultural de la Secretaría de Cultura federal (SC), Marina Núñez Bespalova.",Cultura,https://www.jornada.com.mx/2024/09/28/cultura/a03n1cul?partner=rss,28/09/2024
Expansión,El déficit fiscal de México crece 54% en agosto y supera el billón de pesos,La Secretaría de Hacienda y Crédito Público destacó que los Requerimientos Financieros del Sector Público sumaron 1.109 billones de pesos.,Economía,https://expansion.mx/economia/2024/09/27/deficit-fiscal-mexico-agosto,27/09/2024
Expansión,Gasolinas y diésel van por su primer mes sin subsidios,"Brindar menores estímulos ha permitido recaudar mayores ingresos a la secretaría de Hacienda; de enero a agosto de este año, ha recaudado 82% más dinero por IEPS a estos combustibles.",Economía,https://expansion.mx/economia/2024/09/27/gasolinas-y-diesel-van-por-su-primer-mes-sin-subsidios,27/09/2024
Expansión,"Inversiones en México se mantendrán, pese a débil Estado de Derecho: UBS","El banco de inversión dijo que México mantendrá sus inversiones, aunque sin aprovechar el potencial que ofrece el nearshoring.",Economía,https://expansion.mx/economia/2024/09/27/inversiones-en-mexico-se-mantendran-pese-a-debil-estado-de-derecho-ubs,27/09/2024
