Source,Title,Content,Section,URL,Date
La Jornada,Récord 96 mil asistente pelea Dubois Joshua hoy Wembley,"Londres . Daniel Dubois , nuevo estrella del boxeo mundial , dos vez campeón del orbe Anthony Joshua disputar hoy cinturón peso pesado Federación Internacional Boxeo ( FIB ) multitud récord 96 mil persona catedral del futbol : Wembley .",Deporte,https://www.jornada.com.mx/2024/09/21/deportes/a09n2dep?partner=rss,21/09/2024
La Jornada,"América   no estar   formar jugador , decir Jardine","ser América uno club menos minuto haber dar juvenil , timonel del plantel André Jardine mostrar regla menor , tener intención impulsar joven talento , al señalar prioridad Liga Mx ser ganar torneo no formación jugador beneficio selección México .",Deporte,https://www.jornada.com.mx/2024/09/21/deportes/a11n3dep?partner=rss,21/09/2024
La Jornada,"Fátima Herrera , miedo nada ,   hacer historia ring París 2024","surgimiento referente deporte mujer comenzar forjar nuevo talento . inspira-da proeza Jackie Nava Ana María Guerrera Torres , Fátima Herrera pelear llegar París 2024 , hacer historia al convertir él primero boxeadora mexicano conseguir victoria Juegos Olímpicos .",Deporte,https://www.jornada.com.mx/2024/09/21/deportes/a09n1dep?partner=rss,21/09/2024
La Jornada,Pumas femenil dejar escapar tres punto CU,"pese generar diverso oportunidad gol , Pumas no lograr pa-sar del empate 0-0 Querétaro , dejar escapar valioso punto permitir afianzar él primero lugar clasificación general del torneo Apertura 2024 Liga Mx Femenil .",Deporte,https://www.jornada.com.mx/2024/09/21/deportes/a11n2dep?partner=rss,21/09/2024
La Jornada,Cae dupla Zverev-Alcaraz,"dupla Carlos Alcaraz-Alexander Zverev caer pareja estadunidense formado Taylor Fritz Ben Shelton , 7-6 ( 7/5 ) 6-4 , dejar marcador 2-2 al final primero jornada Laver Cup , disputar Berlín . impulsado Roger Federer 2017 , competencia – exhibición inspirado Ryder Cup golf llamado homenaje al jugador australiano Rod Laver – enfrentar seis jugador Europa mismo número representante del resto del mundo .",Deporte,https://www.jornada.com.mx/2024/09/21/deportes/a10n3dep?partner=rss,21/09/2024
La Jornada,México perder penales leyenda FIFA,"plantel repleto figura otro época , equipo leyenda FIFA Monterrey protagonizar partido exhibición congregar mil persona estadio BBVA , actual casa Rayados sed México Copa del Mundo 2026 . Andrea pir él , Dwayne Rosario Youri Djorkaeff marcar internacional , mientras ex seleccionado tricolor Luis Hernández , Miguel Layún Jorge Campos lograr empate tres . penales , representante FIFA imponer 5-4 . dar inactividad participante retiro profesional , organizador ajustar dimensión del terreno juego . leyenda FIFA estar arquero Gianluigi Buffon , Alessandro del Piero , Didier Drogba , Carles Puyol , Xavi Hernández Diego Forlán . México destacar Oribe Peralta , Luis Hernádez , Jorge Campos , Guillermo Franco , Paul Aguilar técnico Bora Milutinovic .",Deporte,https://www.jornada.com.mx/2024/09/21/deportes/a27n2dep?partner=rss,21/09/2024
La Jornada,Tuzos salir crisis ; derrotar al Puebla visita,"Pachuca reordenar pieza rompecabeza . victoria fecha anterior , Tuzos volver ganar Liga Mx al imponer él 3-2 al Puebla estadio Cuauhtémoc . mucho tener ver debilidad defensivo Franja , más contundencia delantero Salomón Rondón Nelson Deossa , ser figura ataque .",Deporte,https://www.jornada.com.mx/2024/09/21/deportes/a11n1dep?partner=rss,21/09/2024
La Jornada,Jaime Munguía regresar grande   ganar nocaut,"Jaime Munguía regresar al ring plan grande . duro pelea canadiense Erik Bazinyan , Glendale , Arizona , pugilista mexicano conseguir victoria del nocaut décimo asalto , poderoso gancho mano izquierdo ocasionar derrumbe rival . Bazinyan intentar parar él , recibir cuenta del réferi , no encontrar fuerza pierna aceptar derrota . combate dejar mano del tijuanense título plata peso supermediano del CMB . “ ser pelea fuerte , pesado , ninguno momento Bazinyan lastimar . tener ir abriéndolo poco poco . ahora , querer mejor pelea . siguiente año gustar enfrentar Caleb Plant Édgar Berlanga ” , declarar Munguía , no pelear derrota tapatío Saúl Canelo Álvarez .",Deporte,https://www.jornada.com.mx/2024/09/21/deportes/a27n1dep?partner=rss,21/09/2024
La Jornada,"Verstappen , castigado   lenguaje “ grosero ” ; Norris liderar práctico","Max Verstappen caer nuevo espiral error perseguir Red Bull . jornada ensayo libre del gran Premio Singapur , tricampeón mundial Fórmula 1 lograr cuarto mejor tiempo primero ronda , ser lugar 15 , quejar él falta adherencia goma . quedar 1.2 segundo del líder Lando Norris ( McLaren ) , brillar circuito urbano Mari-na Bay delante del monegasco Charles Leclerc Carlos Sainz ( Ferrari ) . mexicano Sergio Pérez ubicar octavo puesto .",Deporte,https://www.jornada.com.mx/2024/09/21/deportes/a10n1dep?partner=rss,21/09/2024
La Jornada,Ohtani desata euforio   prensa japonés,"proeza Shohei Ohtani , convertir primero pelotero Grandes Ligas 50 jonrón 50 base robado temporada , ser celebrar edición extra periódico aficio-nado leyerar camino al trabajo viernes Japón .",Deporte,https://www.jornada.com.mx/2024/09/21/deportes/a10n2dep?partner=rss,21/09/2024
