Term1,Term2,Term3,TrigramFreq,BigramContextFreq,TrigramProb
¿,?,&,37,52,0.7115384615384616
",",gerrygod,&,31,38,0.8157894736842105
$,jajajaja,&,24,39,0.6153846153846154
$,jajaja,&,21,53,0.39622641509433965
$,creo,que,20,20,1.0
$,vavava,&,18,49,0.3673469387755102
por,la,info,15,16,0.9375
$,es,que,15,23,0.6521739130434783
(,?,&,14,15,0.9333333333333333
gracias,por,la,12,16,0.75
$,holi,",",11,20,0.55
yo,creo,que,11,11,1.0
$,qué,pasó,11,16,0.6875
$,y,si,10,44,0.22727272727272727
",",gerry,&,10,15,0.6666666666666666
bonita,tarde,&,10,13,0.7692307692307693
$,bonita,noche,9,16,0.5625
$,sip,&,9,16,0.5625
bonita,noche,&,9,16,0.5625
$,gracias,por,9,26,0.34615384615384615
gracias,gerrygod,&,9,10,0.9
a,ver,si,8,14,0.5714285714285714
$,vava,&,8,27,0.2962962962962963
$,ª,&,8,9,0.8888888888888888
la,info,&,8,16,0.5
$,muchas,gracias,7,9,0.7777777777777778
que,va,a,7,7,1.0
$,si,",",7,38,0.18421052631578946
creo,que,si,7,44,0.1590909090909091
$,no,digas,7,40,0.175
$,bonita,tarde,7,16,0.4375
$,vava,gracias,7,27,0.25925925925925924
holi,",",gerry,7,11,0.6363636363636364
la,clase,de,7,14,0.5
$,¿,y,6,39,0.15384615384615385
$,¿,tú,6,39,0.15384615384615385
$,gracias,&,6,26,0.23076923076923078
cualquier,cosa,aquí,6,10,0.6
me,dijo,que,6,10,0.6
muchas,gracias,&,6,17,0.35294117647058826
$,yo,creo,6,24,0.25
cosa,aquí,ando,5,6,0.8333333333333334
para,eso,estamos,5,6,0.8333333333333334
$,gerrygod,¿,5,23,0.21739130434782608
$,a,ver,5,18,0.2777777777777778
no,sé,si,5,13,0.38461538461538464
te,aviso,&,5,12,0.4166666666666667
$,bonito,día,5,6,0.8333333333333334
$,buen,día,5,5,1.0
$,¿,ya,5,39,0.1282051282051282
nos,vemos,al,5,9,0.5555555555555556
vava,gracias,&,5,9,0.5555555555555556
$,nada,más,5,6,0.8333333333333334
$,ffff,&,5,7,0.7142857142857143
$,ya,sabes,5,57,0.08771929824561403
$,ya,se,4,57,0.07017543859649122
que,el,de,4,13,0.3076923076923077
de,la,mañana,4,23,0.17391304347826086
y,a,ti,4,7,0.5714285714285714
$,efectivamente,&,4,6,0.6666666666666666
el,de,ml,4,13,0.3076923076923077
$,ya,me,4,57,0.07017543859649122
vava,muchas,gracias,4,4,1.0
$,no,sé,4,40,0.1
noche,gerrygod,&,4,4,1.0
$,gracias,gerrygod,4,26,0.15384615384615385
no,hay,clase,4,8,0.5
qué,pasó,gerrygod,4,13,0.3076923076923077
",",que,es,4,6,0.6666666666666666
?,jajaja,&,4,4,1.0
aquí,ando,&,4,5,0.8
y,si,jajaja,4,16,0.25
si,me,entero,4,10,0.4
dime,",",gerrygod,4,4,1.0
$,por,eso,4,8,0.5
$,dime,",",4,8,0.5
que,ya,no,4,11,0.36363636363636365
jajaja,xddd,&,4,5,0.8
$,cualquier,cosa,4,4,1.0
$,nope,&,4,9,0.4444444444444444
¿,seguro,?,4,4,1.0
$,¿,seguro,4,39,0.10256410256410256
en,contratación,”,4,5,0.8
“,en,contratación,4,4,1.0
$,pero,no,4,31,0.12903225806451613
$,de,nada,4,7,0.5714285714285714
$,igual,",",4,14,0.2857142857142857
$,eso,si,4,10,0.4
$,xdddd,&,4,7,0.5714285714285714
la,parte,de,4,4,1.0
creo,que,no,4,44,0.09090909090909091
creo,que,es,4,44,0.09090909090909091
bonito,día,&,4,8,0.5
qué,tal,&,4,6,0.6666666666666666
$,gracias,",",4,26,0.15384615384615385
$,nooo,jajaja,4,4,1.0
muchas,gracias,",",4,17,0.23529411764705882
$,en,la,4,21,0.19047619047619047
disculpa,la,molestia,4,4,1.0
que,en,la,4,7,0.5714285714285714
no,digas,&,4,7,0.5714285714285714
bonito,día,",",4,8,0.5
$,si,lo,4,38,0.10526315789473684
bonita,noche,gerrygod,4,16,0.25
no,va,a,4,5,0.8
la,info,gerrygod,4,16,0.25
no,sé,jajaja,3,13,0.23076923076923078
día,",",gerrygod,3,5,0.6
$,holi,gerry,3,20,0.15
#,*,*,3,3,1.0
selectos,de,ia,3,4,0.75
es,cierto,que,3,5,0.6
y,si,&,3,16,0.1875
muchas,gracias,por,3,17,0.17647058823529413
temas,selectos,de,3,4,0.75
$,jajaja,ntp,3,53,0.05660377358490566
se,me,olvidó,3,7,0.42857142857142855
la,molestia,&,3,5,0.6
$,ya,sé,3,57,0.05263157894736842
$,sisoy,jajaja,3,7,0.42857142857142855
#,#,*,3,6,0.5
#,#,#,3,6,0.5
ya,sabes,que,3,9,0.3333333333333333
$,bueno,",",3,12,0.25
