Term1,Term2,BigramFreq,ContextFreq,BigramProb
?,&,189,312,0.6057692307692307
?,?,96,312,0.3076923076923077
creo,que,82,106,0.7735849056603774
$,siii,72,1514,0.047556142668428
$,no,68,1514,0.04491413474240423
$,sii,53,1514,0.03500660501981506
$,si,53,1514,0.03500660501981506
$,y,51,1514,0.03368560105680317
siii,",",43,84,0.5119047619047619
a,la,42,343,0.12244897959183673
que,si,42,578,0.0726643598615917
de,la,40,348,0.11494252873563218
en,la,38,196,0.19387755102040816
$,yo,37,1514,0.02443857331571995
$,pero,35,1514,0.023117569352708058
$,ya,33,1514,0.021796565389696168
$,siiii,33,1514,0.021796565389696168
$,a,32,1514,0.021136063408190225
$,en,32,1514,0.021136063408190225
si,me,32,279,0.11469534050179211
que,no,31,578,0.05363321799307959
$,me,31,1514,0.02047556142668428
",",no,30,515,0.05825242718446602
gabygod,&,29,57,0.5087719298245614
lo,que,28,190,0.14736842105263157
a,mi,27,343,0.07871720116618076
yo,creo,26,99,0.26262626262626265
que,se,26,578,0.04498269896193772
voy,a,25,35,0.7142857142857143
",",pero,25,515,0.04854368932038835
",",ya,25,515,0.04854368932038835
pero,no,23,140,0.16428571428571428
$,de,23,1514,0.015191545574636724
va,a,23,33,0.696969696969697
no,se,22,328,0.06707317073170732
que,es,22,578,0.03806228373702422
no,me,22,328,0.06707317073170732
$,ahhh,21,1514,0.013870541611624834
sii,",",21,63,0.3333333333333333
a,ver,20,343,0.05830903790087463
para,que,20,71,0.28169014084507044
",",yo,20,515,0.038834951456310676
$,solo,20,1514,0.013210039630118891
que,me,20,578,0.03460207612456748
$,que,19,1514,0.012549537648612946
si,es,19,279,0.06810035842293907
es,que,19,163,0.1165644171779141
$,creo,19,1514,0.012549537648612946
la,escuela,19,325,0.05846153846153846
$,es,18,1514,0.011889035667107
$,lo,18,1514,0.011889035667107
no,?,18,328,0.054878048780487805
no,te,17,328,0.051829268292682924
gabygod,",",17,57,0.2982456140350877
que,te,17,578,0.029411764705882353
",",si,17,515,0.03300970873786408
$,igual,17,1514,0.011228533685601057
si,te,16,279,0.05734767025089606
siiii,&,16,37,0.43243243243243246
$,ah,16,1514,0.010568031704095112
$,la,16,1514,0.010568031704095112
$,ahh,16,1514,0.010568031704095112
no,lo,16,328,0.04878048780487805
$,hola,15,1514,0.009907529722589167
en,serio,15,196,0.07653061224489796
es,el,15,163,0.09202453987730061
jajaj,&,15,26,0.5769230769230769
bien,&,15,64,0.234375
ya,no,15,175,0.08571428571428572
en,el,15,196,0.07653061224489796
lo,de,15,190,0.07894736842105263
de,que,15,348,0.04310344827586207
",",solo,14,515,0.027184466019417475
la,de,14,325,0.043076923076923075
$,te,14,1514,0.009247027741083224
el,que,14,252,0.05555555555555555
a,las,14,343,0.04081632653061224
ver,si,14,36,0.3888888888888889
$,bueno,13,1514,0.008586525759577279
$,esque,13,1514,0.008586525759577279
muy,bien,13,56,0.23214285714285715
gaby,",",13,27,0.48148148148148145
ahora,si,13,27,0.48148148148148145
$,gracias,13,1514,0.008586525759577279
que,el,13,578,0.02249134948096886
si,lo,13,279,0.04659498207885305
",",creo,13,515,0.02524271844660194
gaby,&,13,27,0.48148148148148145
",",me,13,515,0.02524271844660194
si,",",12,279,0.043010752688172046
$,se,12,1514,0.007926023778071334
que,le,12,578,0.020761245674740483
es,lo,12,163,0.0736196319018405
dijo,que,12,30,0.4
en,tu,12,196,0.061224489795918366
$,siiiii,12,1514,0.007926023778071334
gracias,gabygod,12,27,0.4444444444444444
si,no,12,279,0.043010752688172046
la,que,12,325,0.036923076923076927
",",de,12,515,0.02330097087378641
yo,no,11,99,0.1111111111111111
el,de,11,252,0.04365079365079365
$,tu,11,1514,0.00726552179656539
es,la,11,163,0.06748466257668712
se,ve,11,143,0.07692307692307693
ya,me,11,175,0.06285714285714286
vamos,a,11,13,0.8461538461538461
que,ya,11,578,0.01903114186851211
$,entonces,11,1514,0.00726552179656539
",",igual,11,515,0.021359223300970873
",",te,11,515,0.021359223300970873
no,&,10,328,0.03048780487804878
vas,a,10,17,0.5882352941176471
siii,&,10,84,0.11904761904761904
y,si,10,166,0.060240963855421686
$,porque,10,1514,0.0066050198150594455
siiii,",",10,37,0.2702702702702703
se,lo,10,143,0.06993006993006994
no,hay,10,328,0.03048780487804878
que,lo,10,578,0.01730103806228374
iba,a,10,19,0.5263157894736842
con,el,10,71,0.14084507042253522
$,ahorita,10,1514,0.0066050198150594455
solo,que,10,84,0.11904761904761904
$,el,10,1514,0.0066050198150594455
y,ya,10,166,0.060240963855421686
sii,&,10,63,0.15873015873015872
no,creo,10,328,0.03048780487804878
no,le,10,328,0.03048780487804878
eso,&,10,47,0.2127659574468085
la,verdad,10,325,0.03076923076923077
mi,mamá,10,76,0.13157894736842105
$,vale,10,1514,0.0066050198150594455
la,mañana,10,325,0.03076923076923077
te,preocupes,10,129,0.07751937984496124
$,por,9,1514,0.0059445178335535
lo,bueno,9,190,0.04736842105263158
los,de,9,86,0.10465116279069768
me,gusta,9,217,0.041474654377880185
",",se,9,515,0.017475728155339806
jajajja,&,9,16,0.5625
mucho,&,9,24,0.375
si,&,9,279,0.03225806451612903
escuela,&,9,28,0.32142857142857145
bueno,",",9,49,0.1836734693877551
