Term1,Term2,Term3,TrigramFreq,BigramContextFreq,TrigramProb
?,?,&,61,96,0.6354166666666666
$,siii,",",39,72,0.5416666666666666
$,sii,",",21,53,0.39622641509433965
?,?,?,19,96,0.19791666666666666
$,creo,que,18,19,0.9473684210526315
yo,creo,que,16,26,0.6153846153846154
$,siiii,&,15,33,0.45454545454545453
$,yo,creo,13,37,0.35135135135135137
a,la,escuela,12,42,0.2857142857142857
",",creo,que,12,13,0.9230769230769231
a,ver,si,11,20,0.55
no,te,preocupes,10,17,0.5882352941176471
$,siiii,",",10,33,0.30303030303030304
creo,que,si,10,82,0.12195121951219512
gracias,gabygod,&,9,12,0.75
$,en,serio,9,32,0.28125
no,?,?,8,18,0.4444444444444444
$,a,mi,8,32,0.25
no,?,&,8,18,0.4444444444444444
$,a,ver,8,32,0.25
$,no,te,8,68,0.11764705882352941
$,hola,gaby,8,15,0.5333333333333333
$,sii,&,7,53,0.1320754716981132
en,serio,?,7,15,0.4666666666666667
$,ahora,si,7,8,0.875
hola,gaby,",",7,8,0.875
los,de,la,7,9,0.7777777777777778
la,escuela,&,7,19,0.3684210526315789
no,se,si,7,22,0.3181818181818182
$,siii,&,6,72,0.08333333333333333
pero,creo,que,6,6,1.0
si,es,que,6,19,0.3157894736842105
$,hola,gabygod,6,15,0.4
que,si,",",6,42,0.14285714285714285
$,y,ya,6,51,0.11764705882352941
que,si,es,6,42,0.14285714285714285
$,gracias,gabygod,5,13,0.38461538461538464
$,siiiiii,",",5,8,0.625
a,los,de,5,9,0.5555555555555556
es,el,que,5,15,0.3333333333333333
",",no,se,5,30,0.16666666666666666
$,siiiii,",",5,12,0.4166666666666667
creo,que,no,5,82,0.06097560975609756
creo,que,ya,5,82,0.06097560975609756
de,la,mañana,5,40,0.125
hola,gabygod,",",5,6,0.8333333333333334
se,me,hace,5,8,0.625
me,voy,a,5,7,0.7142857142857143
$,ya,me,5,33,0.15151515151515152
",",no,creo,5,30,0.16666666666666666
en,la,tarde,5,38,0.13157894736842105
la,última,clase,5,7,0.7142857142857143
$,si,me,5,53,0.09433962264150944
serio,?,?,5,7,0.7142857142857143
no,creo,que,5,10,0.5
creo,que,es,5,82,0.06097560975609756
me,hace,que,5,6,0.8333333333333334
es,lo,que,5,12,0.4166666666666667
