Term1,Term2,BigramFreq,ContextFreq,BigramProb
.,&,46,53,0.8679245283018868
?,&,36,65,0.5538461538461539
gabygod,&,35,58,0.603448275862069
$,no,27,416,0.06490384615384616
?,?,23,65,0.35384615384615387
🙏,🏻,21,21,1.0
@,5215512499392,19,28,0.6785714285714286
$,gracias,18,416,0.04326923076923077
$,ya,17,416,0.040865384615384616
🏻,🙏,16,23,0.6956521739130435
$,@,15,416,0.036057692307692304
gracias,gabygod,14,21,0.6666666666666666
xd,&,13,15,0.8666666666666667
gabygod,",",11,58,0.1896551724137931
$,si,11,416,0.026442307692307692
$,yo,10,416,0.02403846153846154
$,y,10,416,0.02403846153846154
@,5215565635201,9,28,0.32142857142857145
$,zi,9,416,0.021634615384615384
$,que,9,416,0.021634615384615384
$,creo,9,416,0.021634615384615384
zi,&,9,9,1.0
lo,que,9,29,0.3103448275862069
5215512499392,&,8,19,0.42105263157894735
$,pero,8,416,0.019230769230769232
$,eliminaste,7,416,0.016826923076923076
eliminaste,este,7,8,0.875
este,mensaje,7,12,0.5833333333333334
mensaje,.,7,9,0.7777777777777778
(,(,7,16,0.4375
.,.,7,53,0.1320754716981132
$,se,7,416,0.016826923076923076
si,gabygod,6,22,0.2727272727272727
$,por,6,416,0.014423076923076924
el,protocolo,6,47,0.1276595744680851
nada,&,6,9,0.6666666666666666
🏻,&,6,23,0.2608695652173913
$,lo,6,416,0.014423076923076924
creo,que,5,12,0.4166666666666667
$,ay,5,416,0.01201923076923077
$,el,5,416,0.01201923076923077
gabygod,.,5,58,0.08620689655172414
de,una,5,54,0.09259259259259259
5215565635201,&,5,9,0.5555555555555556
creo,&,5,12,0.4166666666666667
$,jajajaja,5,416,0.01201923076923077
que,se,5,61,0.08196721311475409
⚠,️,4,4,1.0
ya,no,4,32,0.125
$,me,4,416,0.009615384615384616
se,me,4,28,0.14285714285714285
no,nos,4,56,0.07142857142857142
por,favor,4,20,0.2
de,nlp,4,54,0.07407407407407407
jajajaja,&,4,5,0.8
por,que,4,20,0.2
va,a,4,8,0.5
con,el,4,18,0.2222222222222222
que,nos,4,61,0.06557377049180328
sagal,&,4,9,0.4444444444444444
no,te,4,56,0.07142857142857142
$,con,4,416,0.009615384615384616
:,(,4,11,0.36363636363636365
del,equipo,4,17,0.23529411764705882
*,&,4,7,0.5714285714285714
el,esponjosito,4,47,0.0851063829787234
gaby,&,4,4,1.0
es,un,4,13,0.3076923076923077
$,oye,4,416,0.009615384615384616
jajajajajaja,&,3,3,1.0
vale,&,3,5,0.6
$,hny,3,416,0.007211538461538462
$,a,3,416,0.007211538461538462
$,le,3,416,0.007211538461538462
$,jajajajajaja,3,416,0.007211538461538462
$,mañana,3,416,0.007211538461538462
$,entonces,3,416,0.007211538461538462
si,no,3,22,0.13636363636363635
$,vale,3,416,0.007211538461538462
(,&,3,16,0.1875
de,la,3,54,0.05555555555555555
favor,&,3,4,0.75
🧐,🧐,3,4,0.75
nos,va,3,20,0.15
lo,del,3,29,0.10344827586206896
$,te,3,416,0.007211538461538462
",",que,3,64,0.046875
oye,@,3,4,0.75
️,⚠,3,4,0.75
yo,tengo,3,12,0.25
me,dio,3,24,0.125
que,esta,3,61,0.04918032786885246
en,el,3,17,0.17647058823529413
$,también,3,416,0.007211538461538462
que,si,3,61,0.04918032786885246
😴,😴,3,4,0.75
protocolo,&,3,12,0.25
no,me,3,56,0.05357142857142857
",",gracias,3,64,0.046875
los,gummyboys,3,11,0.2727272727272727
$,estamos,3,416,0.007211538461538462
wey,&,3,6,0.5
se,lo,3,28,0.10714285714285714
cabrón,&,3,3,1.0
del,esponjosito,3,17,0.17647058823529413
$,es,3,416,0.007211538461538462
jr,&,3,3,1.0
",",no,3,64,0.046875
la,metodología,3,29,0.10344827586206896
a,las,2,47,0.0425531914893617
no,hay,2,56,0.03571428571428571
al,final,2,10,0.2
me,gusta,2,24,0.08333333333333333
y,al,2,32,0.0625
ya,te,2,32,0.0625
brito,&,2,4,0.5
gabygod,?,2,58,0.034482758620689655
$,popue,2,416,0.004807692307692308
a,pop,2,47,0.0425531914893617
pero,&,2,13,0.15384615384615385
no,es,2,56,0.03571428571428571
pero,.,2,13,0.15384615384615385
estoy,triste,2,4,0.5
$,cual,2,416,0.004807692307692308
",",ya,2,64,0.03125
asicierto,&,2,2,1.0
no,le,2,56,0.03571428571428571
es,cierto,2,13,0.15384615384615385
$,o,2,416,0.004807692307692308
dijo,que,2,4,0.5
vas,a,2,3,0.6666666666666666
nos,dijo,2,20,0.1
si,se,2,22,0.09090909090909091
va,ser,2,8,0.25
cierto,gabygod,2,4,0.5
mañana,a,2,8,0.25
esponjosito,&,2,8,0.25
con,nosotros,2,18,0.1111111111111111
ir,con,2,3,0.6666666666666666
$,asicierto,2,416,0.004807692307692308
me,saco,2,24,0.08333333333333333
$,sagal,2,416,0.004807692307692308
:,30,2,11,0.18181818181818182
mientras,tu,2,3,0.6666666666666666
y,la,2,32,0.0625
$,tú,2,416,0.004807692307692308
tú,no,2,3,0.6666666666666666
$,buenas,2,416,0.004807692307692308
buenas,noches,2,2,1.0
$,un,2,416,0.004807692307692308
del,protocolo,2,17,0.11764705882352941
a,sacar,2,47,0.0425531914893617
para,que,2,13,0.15384615384615385
en,la,2,17,0.11764705882352941
$,.,2,416,0.004807692307692308
para,el,2,13,0.15384615384615385
",",como,2,64,0.03125
a,brito,2,47,0.0425531914893617
pop,",",2,6,0.3333333333333333
",",yo,2,64,0.03125
el,cronograma,2,47,0.0425531914893617
lo,siento,2,29,0.06896551724137931
gabygod,:,2,58,0.034482758620689655
su,madre,2,4,0.5
cualquier,cosa,2,2,1.0
",",para,2,64,0.03125
esta,hablando,2,15,0.13333333333333333
de,lo,2,54,0.037037037037037035
y,nosotros,2,32,0.0625
esponjosito,xd,2,8,0.25
si,&,2,22,0.09090909090909091
hola,gabygod,2,3,0.6666666666666666
5215512499392,hola,2,19,0.10526315789473684
jsjsjs,&,2,2,1.0
ya,nos,2,32,0.0625
hny,&,2,4,0.5
x3,&,2,2,1.0
apoyamos,gabygod,2,2,1.0
te,apoyamos,2,16,0.125
gummyboys,te,2,3,0.6666666666666666
gabyyy,&,2,2,1.0
$,gabyyy,2,416,0.004807692307692308
",",se,2,64,0.03125
pipa,&,2,4,0.5
imágenes,&,2,2,1.0
metodología,",",2,4,0.5
rzagalf,&,2,2,1.0
$,rzagalf,2,416,0.004807692307692308
$,jsjsjsjs,2,416,0.004807692307692308
la,teoría,2,29,0.06896551724137931
gracias,&,2,21,0.09523809523809523
$,asi,2,416,0.004807692307692308
a,los,2,47,0.0425531914893617
tengo,la,2,4,0.5
josué,&,2,3,0.6666666666666666
a,la,2,47,0.0425531914893617
pero,en,2,13,0.15384615384615385
no,pero,2,56,0.03571428571428571
a,su,2,47,0.0425531914893617
$,oigan,2,416,0.004807692307692308
oigan,&,2,2,1.0
xdxd,&,2,2,1.0
$,como,2,416,0.004807692307692308
en,un,2,17,0.11764705882352941
