Term1,Term2,Term3,TrigramFreq,BigramContextFreq,TrigramProb
$,no,ma,47,116,0.4051724137931034
no,ma,&,24,53,0.4528301886792453
$,xd,&,21,21,1.0
$,es,que,18,33,0.5454545454545454
bebé,?,&,12,12,1.0
$,te,amo,12,26,0.46153846153846156
$,oigan,&,10,17,0.5882352941176471
mi,amor,&,9,20,0.45
si,bebé,&,8,12,0.6666666666666666
$,@,5215533980587,8,17,0.47058823529411764
🔥,🔥,🔥,8,14,0.5714285714285714
es,que,no,8,24,0.3333333333333333
$,si,bebé,8,38,0.21052631578947367
$,si,&,7,38,0.18421052631578946
te,amo,más,7,14,0.5
:,),&,7,7,1.0
@,5215533980587,&,6,11,0.5454545454545454
$,vava,&,6,8,0.75
mi,cielo,&,6,10,0.6
$,y,me,6,64,0.09375
🇷,🇧,🇷,6,6,1.0
🇧,🇷,🇧,6,7,0.8571428571428571
$,pero,no,6,64,0.09375
$,pq,&,6,6,1.0
$,buenos,días,6,7,0.8571428571428571
$,sip,&,6,7,0.8571428571428571
🔥,🔥,&,5,14,0.35714285714285715
es,?,&,5,5,1.0
$,hola,&,5,15,0.3333333333333333
$,no,te,5,116,0.04310344827586207
chicas,tarde,&,5,6,0.8333333333333334
$,no,me,5,116,0.04310344827586207
$,esq,no,5,21,0.23809523809523808
$,yo,mas,5,41,0.12195121951219512
a,mi,casa,5,17,0.29411764705882354
$,ola,&,5,9,0.5555555555555556
$,que,onda,5,27,0.18518518518518517
$,chi,&,5,6,0.8333333333333334
$,a,mi,4,18,0.2222222222222222
😭,😭,😭,4,7,0.5714285714285714
yo,creo,que,4,5,0.8
$,q,cabron,4,30,0.13333333333333333
$,yo,creo,4,41,0.0975609756097561
te,amo,&,4,14,0.2857142857142857
$,pero,ya,4,64,0.0625
$,ay,&,4,9,0.4444444444444444
$,pero,si,4,64,0.0625
$,gracias,&,4,25,0.16
$,hola,amigos,4,15,0.26666666666666666
no,te,preocupes,4,13,0.3076923076923077
que,no,ma,4,24,0.16666666666666666
que,no,&,4,24,0.16666666666666666
llegué,a,mi,4,4,1.0
$,y,ya,4,64,0.0625
!,!,!,4,6,0.6666666666666666
$,no,maaaa,4,116,0.034482758620689655
