28/10/24 02:10 - Pika:  SHIIIIIIIIT 
20/09/24 01:51 - Pika:  Los incultos pensaran que habla de genshin impap 
31/07/23 22:13 - Pika:  Pero en realidad habla del lanzamiento de Squad Busters nuevo juego de SUPERCELL 
30/05/24 12:59 - Pika:  Es algo que mañana descubriremos 
12/04/24 06:23 - Pika:  Oigan 
10/04/23 10:33 - Pika:  Se antoja 1 posada navideña de las chicas 
09/06/24 01:43 - Pika:  En Abril 
15/10/23 10:09 - Pika:  Ya se 
26/05/23 10:49 - Pika:  Posada Navideña de chicas 
12/04/23 17:22 - Pika:  Especial 5 de mayo 
24/06/23 16:42 - Pika:  Porque 
04/09/24 18:22 - Pika:  Pero creo que estaría mejor si 
05/07/24 13:58 - Pika:  Hay que hacerlo 1 día que no pueda gerry 
10/02/24 20:43 - Pika:  Ni roro 
20/01/23 00:35 - Pika:  Orale 
06/01/24 08:18 - Pika:  Felicidades ya casi son sus cumpleaños 
08/03/23 23:02 - Pika:  Feliz cumple bro tu sabes que pedo🔥🔥🔥 
04/07/24 11:29 - Pika:  La pepsi sabe mejor q la coca 
20/03/24 11:34 - Pika:  No ma la foto del grupo 
14/02/23 23:50 - Pika:  No me había dado cuenta q es dogo comiendo la que le gusta a pi 
10/06/24 01:26 - Pika:  XDDDDDDD 
24/09/24 04:25 - Pika:  Caro basta de milfs 
09/05/23 22:26 - Pika:  Ya vieron q hora es? 
20/09/23 09:16 - Pika:  Awas 
14/03/24 19:19 - Pika:  Ya tengo a la de metodología 
02/03/23 03:52 - Pika:  La puta 
13/01/23 05:55 - Pika:  Bruja* 
23/02/24 01:13 - Pika:  No cheto no le digan q dije eso 
11/09/23 18:08 - Pika:  Pero se mama 
10/09/24 19:11 - Pika:  Chingadamadre 
09/09/23 13:07 - Pika:  Puta madre 
09/07/24 10:27 - Pika:  Hay q hacer bgd multivariable con una pinche perra chingada 
25/09/24 17:13 - Pika:  Q pacho 
26/03/23 05:53 - Pika:  Yo si lo vi 
11/10/23 15:43 - Pika:  Pero si 
17/07/24 07:39 - Pika:  La neta si lo hubiera visto monchan 
02/06/24 06:38 - Pika:  Funado Dogo 
28/04/23 04:05 - Pika:  Yo creo que algo peor 
10/06/23 00:28 - Pika:  JAJAJAJA 
03/04/23 01:16 - Pika:  Se hace 
17/07/23 12:00 - Pika:  Cambios de balance 4 k 
05/12/23 02:38 - Pika:  Irse con Edwin esta mal 
06/06/24 21:22 - Pika:  Viene en el manual de las chicas 
05/09/23 19:34 - Pika:  Porque 
10/02/23 17:15 - Pika:  XD 
07/02/24 05:06 - Pika:  Si rorro solo 1 enfermo diría eso 
27/06/24 17:28 - Pika:  Por eso 
22/05/23 07:21 - Pika:  La mamá es hombre 
04/01/24 19:40 - Pika:  Gracias a dios 
04/04/24 14:02 - Pika:  No cheto roro 
23/01/23 11:52 - Pika:  Era broma 
02/02/23 22:50 - Pika:  Caiste 
06/03/24 23:32 - Pika:  Antes no estaba tan chichona 
29/05/24 16:21 - Pika:  Q prefieres? 
12/07/23 00:32 - Pika:  Chico malo 😈 
26/05/23 07:12 - Pika:  O chico 
19/08/23 11:52 - Pika:  Chichona 
22/04/24 12:32 - Pika:  Sin chichotas 
21/09/24 10:40 - Pika:  O !roro 
14/03/23 08:51 - Pika:  Lo tuneamos 
07/09/23 07:25 - Pika:  Le pusimos chichotas 
27/01/23 06:18 - Pika:  1 tatuaje de mariposa en la nalga derecha 
07/02/24 04:45 - Pika:  Le pusimos 32 de ram 
21/04/23 13:47 - Pika:  Hackermaster69 le descargo linux 
22/11/23 08:21 - Pika:  Y le dimos 1 iPhone X 
27/08/24 07:14 - Pika:  Hola gerry 😈🔥 
13/05/23 18:56 - Pika:  Como estas canijillo? 
21/05/23 20:32 - Pika:  🔥😈 
13/07/24 11:18 - Pika:  Q bueno 
07/06/23 09:15 - Pika:  🦅🦅🦅 
11/04/23 10:15 - Pika:  🦁🦁🦁 
19/01/23 02:13 - Pika:  Eres 1 león 
01/09/23 12:29 - Pika:  Hechale ganas paps 
08/05/24 16:14 - Pika:  Sabes q estamos para 🫶 
